ResourceName,StandardName,DisplayName,Definition,Groups,SimpleDataType,SourceResource,SugMaxLength,SugMaxPrecision,Synonyms,FrenchCanadianDisplayName,SpanishDisplayName,ElementStatus,RecordId,LegacyRecordId,LookupStatus,LookupName,RepeatingElement,PropertyTypes,Payloads,StatusChangeDate,RevisedDate,AddedInVersion,WikiPageTitle,WikiPageUrl,WikiPageId,TargetResourceKey,SourceResourceKey,BEDES
ShowingAppointment,ShowingAppointmentStatus,Showing Appointment Status,The status of the requested showing appointment.,,"String List, Single",,27,,,,,Active,c08b4f9,,Open with Enumerations,ShowingAppointmentStatus,No,,,6/16/2022,6/16/2022,2.0.0,ShowingAppointmentStatus Field,https://ddwiki.reso.org/display/DDW20/ShowingAppointmentStatus+Field,1136155,,,
ShowingAppointment,ShowingId,Showing ID,"The well-known identifier for the showing record. The value may be identical to that of the ShowingKey, but the ShowingId is intended to be the value used by a human to retrieve the information about a specific showing. In a multiple-originating or merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",,String,,25,,,,,Active,1a354c8,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingId Field (ShowingAppointment),https://ddwiki.reso.org/pages/viewpage.action?pageId=1136162,1136162,,,
ShowingAppointment,ShowingKey,Showing Key,"A unique identifier for this record from the immediate source. This is a string that can include a Uniform Resource Identifier (URI) or other forms. This is the local key of the system. When records are received from other systems, a local key is commonly applied. If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",,String,,255,,,,,Active,e8fef97,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingKey Field (ShowingAppointment),https://ddwiki.reso.org/pages/viewpage.action?pageId=1136167,1136167,,,
ShowingAvailability,ModificationTimestamp,Modification Timestamp,The transactional timestamp automatically recorded by the system representing the date/time the ShowingAvailability record was last modified.,,Timestamp,,27,,,,,Active,f72c8cd,,,,No,,,6/16/2022,6/16/2022,2.0.0,ModificationTimestamp Field (ShowingAvailability),https://ddwiki.reso.org/pages/viewpage.action?pageId=1136113,1136113,,,
ShowingAvailability,ShowingAvailabilityKey,Showing Availability Key,"A system unique identifier. Specifically, the local key to the ShowingAvailability resource.",,String,,255,,,,,Active,577a83b,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingAvailabilityKey Field,https://ddwiki.reso.org/display/DDW20/ShowingAvailabilityKey+Field,1136119,,,
ShowingAvailability,ShowingAvailableEndTime,Showing Available End Time,"End Time of an ""available for appointment scheduling"" block in ISO-8601 format in Coordinated Universal Time (UTC).",,Timestamp,,27,,,,,Active,fd50e73,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingAvailableEndTime Field,https://ddwiki.reso.org/display/DDW20/ShowingAvailableEndTime+Field,1136125,,,
ShowingAvailability,ShowingAvailableStartTime,Showing Available Start Time,"Start Time of an ""available for appointment scheduling"" block in ISO-8601 format in Coordinated Universal Time (UTC).",,Timestamp,,27,,,,,Active,a36c391,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingAvailableStartTime Field,https://ddwiki.reso.org/display/DDW20/ShowingAvailableStartTime+Field,1136131,,,
ShowingAvailability,ShowingDate,Showing Date,The date that showing appointments can be requested.,,Date,,10,,,,,Active,32a8f15,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingDate Field,https://ddwiki.reso.org/display/DDW20/ShowingDate+Field,1136138,,,
ShowingAvailability,ShowingId,Showing ID,"The well-known identifier for the showing record. The value may be identical to that of the ShowingKey, but the ShowingId is intended to be the value used by a human to retrieve the information about a specific showing. In a multiple-originating or merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",,String,,255,,,,,Active,e655b7d,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingId Field (ShowingAvailability),https://ddwiki.reso.org/pages/viewpage.action?pageId=1136144,1136144,,,
ShowingAvailability,ShowingKey,Showing Key,"A unique identifier for this record from the immediate source. This is a string that can include a Uniform Resource Identifier (URI) or other forms. This is the local key of the system. When records are received from other systems, a local key is commonly applied. If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",,String,,255,,,,,Active,ab329ff,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingKey Field (ShowingAvailability),https://ddwiki.reso.org/pages/viewpage.action?pageId=1136150,1136150,,,
ShowingAvailability,ShowingMaximumDuration,Showing Maximum Duration,"The maximum block of time available for a showing. If no minimum duration exists, use this field as default.",,String,,50,,,,,Active,ab96113,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingMaximumDuration Field,https://ddwiki.reso.org/display/DDW20/ShowingMaximumDuration+Field,1136156,,,
